s,A(s) (GHz),B(s) (GHz),c (normalized)
0.461,0.25393400,2.61707900,0.44294010
0.462,0.25063270,2.62486600,0.44343230
0.463,0.24733140,2.63266400,0.44392460
0.464,0.24403010,2.64047400,0.44441680
0.465,0.24072880,2.64829500,0.44490910
0.466,0.23742750,2.65612800,0.44540130
0.467,0.23412620,2.66397200,0.44589360
0.468,0.23082490,2.67182800,0.44638580
0.469,0.22752350,2.67969600,0.44687810
0.470,0.22422220,2.68757500,0.44737030
0.471,0.22092090,2.69546600,0.44786260
0.472,0.21761960,2.70336800,0.44835480
0.473,0.21431830,2.71128200,0.44884710
0.474,0.21117890,2.71920700,0.44934770
0.475,0.20844090,2.72714400,0.44986840
0.476,0.20593510,2.73509300,0.45040060
0.477,0.20342940,2.74305300,0.45093280
0.478,0.20092370,2.75102400,0.45146510
0.479,0.19841800,2.75900700,0.45199730
0.480,0.19591230,2.76700200,0.45252950
0.481,0.19340660,2.77500900,0.45306170
0.482,0.19090090,2.78302600,0.45359390
0.483,0.18839520,2.79105600,0.45412610
0.484,0.18588940,2.79909700,0.45465830
0.485,0.18338370,2.80715000,0.45519050
0.486,0.18087800,2.81521400,0.45572270
0.487,0.17837230,2.82329000,0.45625490
0.488,0.17586660,2.83137700,0.45678710
0.489,0.17336090,2.83947600,0.45731930
0.490,0.17085520,2.84758600,0.45785160
0.491,0.16834950,2.85570800,0.45838380
0.492,0.16584370,2.86384200,0.45891600
0.493,0.16333800,2.87198700,0.45944820
0.494,0.16083230,2.88014400,0.45998040
0.495,0.15832660,2.88831200,0.46051260
0.496,0.15582090,2.89649200,0.46104480
0.497,0.15331520,2.90468300,0.46157700
0.498,0.15080950,2.91288600,0.46210920
0.499,0.14830380,2.92110100,0.46264140
0.501,0.14579800,2.92932700,0.46317360
0.502,0.14329230,2.93756400,0.46370580
0.503,0.14078660,2.94581400,0.46423800
0.504,0.13828090,2.95407400,0.46477030
0.505,0.13588880,2.96234700,0.46530970
0.506,0.13379780,2.97063100,0.46586820
0.507,0.13197070,2.97892600,0.46644290
0.508,0.13014360,2.98723300,0.46701760
0.509,0.12831660,2.99555200,0.46759230
0.510,0.12648950,3.00388200,0.46816700
0.511,0.12466240,3.01222400,0.46874180
0.512,0.12283540,3.02057700,0.46931650
0.513,0.12100830,3.02894200,0.46989120
0.514,0.11918120,3.03731900,0.47046590
0.515,0.11735410,3.04570700,0.47104060
0.516,0.11552710,3.05410600,0.47161530
0.517,0.11370000,3.06251700,0.47219000
0.518,0.11187290,3.07094000,0.47276470
0.519,0.11004590,3.07937400,0.47333940
0.520,0.10821880,3.08782000,0.47391410
0.521,0.10639170,3.09627800,0.47448880
0.522,0.10456470,3.10474700,0.47506350
0.523,0.10273760,3.11322700,0.47563820
0.524,0.10091050,3.12171900,0.47621290
0.525,0.09908347,3.13022300,0.47678760
0.526,0.09725640,3.13873800,0.47736230
0.527,0.09542933,3.14726500,0.47793700
0.528,0.09360226,3.15580400,0.47851170
0.529,0.09177519,3.16435400,0.47908640
0.530,0.08994812,3.17291500,0.47966110
0.531,0.08812106,3.18148800,0.48023580
0.532,0.08629399,3.19007300,0.48081050
0.533,0.08460645,3.19866900,0.48139670
0.534,0.08316437,3.20727700,0.48200290
0.535,0.08193470,3.21589600,0.48262590
0.536,0.08070504,3.22452700,0.48324890
0.537,0.07947537,3.23317000,0.48387200
0.538,0.07824570,3.24182400,0.48449500
0.539,0.07701603,3.25048900,0.48511800
0.540,0.07578637,3.25916700,0.48574110
0.541,0.07455670,3.26785500,0.48636410
0.542,0.07332703,3.27655600,0.48698720
0.543,0.07209736,3.28526800,0.48761020
0.544,0.07086770,3.29399100,0.48823320
0.545,0.06963803,3.30272600,0.48885630
0.546,0.06840836,3.31147300,0.48947930
0.547,0.06717869,3.32023100,0.49010230
0.548,0.06594903,3.32900100,0.49072540
0.549,0.06471936,3.33778200,0.49134840
0.550,0.06348969,3.34657500,0.49197140
0.551,0.06226003,3.35537900,0.49259450
0.552,0.06103036,3.36419500,0.49321750
0.553,0.05980069,3.37302300,0.49384050
0.554,0.05857102,3.38186200,0.49446360
0.555,0.05734136,3.39071200,0.49508660
0.556,0.05611169,3.39957500,0.49570970
0.557,0.05488202,3.40844900,0.49633270
0.558,0.05365235,3.41733400,0.49695570
0.559,0.05256847,3.42623100,0.49759480
0.560,0.05164678,3.43513900,0.49825120
0.561,0.05080279,3.44406000,0.49891580
0.562,0.04995879,3.45299100,0.49958040
0.563,0.04911480,3.46193400,0.50024500
0.564,0.04827081,3.47088900,0.50090960
0.565,0.04742681,3.47985600,0.50157420
0.566,0.04658282,3.48883300,0.50223880
0.567,0.04573883,3.49782300,0.50290340
0.568,0.04489483,3.50682400,0.50356800
0.569,0.04405084,3.51583700,0.50423260
0.570,0.04320685,3.52486100,0.50489720
0.571,0.04236286,3.53389700,0.50556180
0.572,0.04151886,3.54294400,0.50622640
0.573,0.04067487,3.55200300,0.50689100
0.574,0.03983088,3.56107300,0.50755560
0.575,0.03898688,3.57015500,0.50822020
0.576,0.03814289,3.57924900,0.50888480
0.577,0.03729890,3.58835400,0.50954940
0.578,0.03645490,3.59747100,0.51021400
0.579,0.03561091,3.60659900,0.51087860
0.580,0.03476692,3.61573900,0.51154320
0.581,0.03392292,3.62489000,0.51220780
0.582,0.03307893,3.63405300,0.51287240
0.583,0.03232288,3.64322800,0.51355010
0.584,0.03167232,3.65241400,0.51424290
0.585,0.03110215,3.66161200,0.51494690
0.586,0.03053198,3.67082100,0.51565090
0.587,0.02996182,3.68004200,0.51635490
0.588,0.02939165,3.68927400,0.51705890
0.589,0.02882148,3.69851800,0.51776280
0.590,0.02825131,3.70777400,0.51846680
0.591,0.02768115,3.71704100,0.51917080
0.592,0.02711098,3.72631900,0.51987480
0.593,0.02654081,3.73561000,0.52057880
0.594,0.02597064,3.74491100,0.52128280
0.595,0.02540047,3.75422500,0.52198680
0.596,0.02483031,3.76355000,0.52269080
0.597,0.02426014,3.77288600,0.52339480
0.598,0.02368997,3.78223400,0.52409880
0.599,0.02311980,3.79159400,0.52480280
0.600,0.02254964,3.80096500,0.52550680
0.601,0.02197947,3.81034800,0.52621080
0.602,0.02140930,3.81974200,0.52691480
0.603,0.02083913,3.82914800,0.52761880
0.604,0.02026897,3.83856500,0.52832280
0.605,0.01969880,3.84799400,0.52902680
0.606,0.01921873,3.85743500,0.52974950
0.607,0.01881481,3.86688700,0.53048710
0.608,0.01845166,3.87635100,0.53123280
0.609,0.01808851,3.88582600,0.53197840
0.610,0.01772535,3.89531300,0.53272400
0.611,0.01736220,3.90481100,0.53346960
0.612,0.01699905,3.91432100,0.53421520
0.613,0.01663589,3.92384300,0.53496090
0.614,0.01627274,3.93337600,0.53570650
0.615,0.01590959,3.94292100,0.53645210
0.616,0.01554643,3.95247700,0.53719770
0.617,0.01518328,3.96204500,0.53794330
0.618,0.01482013,3.97162400,0.53868890
0.619,0.01445697,3.98121500,0.53943460
0.620,0.01409382,3.99081800,0.54018020
0.621,0.01373066,4.00043200,0.54092580
0.622,0.01336751,4.01005700,0.54167140
0.623,0.01300436,4.01969500,0.54241700
0.624,0.01264120,4.02934300,0.54316260
0.625,0.01227805,4.03900400,0.54390830
0.626,0.01191490,4.04867600,0.54465390
0.627,0.01157945,4.05835900,0.54540790
0.628,0.01129203,4.06805400,0.54617650
0.629,0.01106215,4.07776100,0.54696170
0.630,0.01083228,4.08747900,0.54774690
0.631,0.01060240,4.09720900,0.54853210
0.632,0.01037252,4.10695000,0.54931730
0.633,0.01014264,4.11670300,0.55010240
0.634,0.00991276,4.12646700,0.55088760
0.635,0.00968289,4.13624300,0.55167280
0.636,0.00945301,4.14603100,0.55245800
0.637,0.00922313,4.15583000,0.55324320
0.638,0.00899325,4.16564100,0.55402840
0.639,0.00876337,4.17546300,0.55481360
0.640,0.00853349,4.18529700,0.55559880
0.641,0.00830361,4.19514200,0.55638400
0.642,0.00807374,4.20499900,0.55716910
0.643,0.00784386,4.21486800,0.55795430
0.644,0.00761398,4.22474800,0.55873950
0.645,0.00738410,4.23464000,0.55952470
0.646,0.00715422,4.24454300,0.56030990
0.647,0.00692496,4.25445800,0.56109540
0.648,0.00673759,4.26438400,0.56190080
0.649,0.00658250,4.27432200,0.56272020
0.650,0.00644079,4.28427100,0.56354550
0.651,0.00629907,4.29423300,0.56437070
0.652,0.00615735,4.30420500,0.56519600
0.653,0.00601564,4.31418900,0.56602120
0.654,0.00587392,4.32418500,0.56684650
0.655,0.00573220,4.33419300,0.56767170
0.656,0.00559048,4.34421100,0.56849700
0.657,0.00544877,4.35424200,0.56932220
0.658,0.00530705,4.36428400,0.57014750
0.659,0.00516533,4.37433800,0.57097270
0.660,0.00502361,4.38440300,0.57179800
0.661,0.00488190,4.39447900,0.57262320
0.662,0.00474018,4.40456800,0.57344850
0.663,0.00459846,4.41466800,0.57427370
0.664,0.00445674,4.42477900,0.57509900
0.665,0.00431503,4.43490200,0.57592420
0.666,0.00417331,4.44503700,0.57674950
0.667,0.00404585,4.45518300,0.57758510
0.668,0.00393475,4.46534000,0.57843220
0.669,0.00384390,4.47551000,0.57929300
0.670,0.00375304,4.48569100,0.58015380
0.671,0.00366219,4.49588300,0.58101460
0.672,0.00357133,4.50608700,0.58187540
0.673,0.00348048,4.51630300,0.58273630
0.674,0.00338962,4.52653000,0.58359710
0.675,0.00329876,4.53676800,0.58445790
0.676,0.00320791,4.54701900,0.58531870
0.677,0.00311705,4.55728000,0.58617950
0.678,0.00302620,4.56755400,0.58704030
0.679,0.00293534,4.57783900,0.58790110
0.680,0.00284449,4.58813500,0.58876190
0.681,0.00275363,4.59844300,0.58962270
0.682,0.00266278,4.60876300,0.59048350
0.683,0.00257192,4.61909400,0.59134430
0.684,0.00248107,4.62943700,0.59220520
0.685,0.00239021,4.63979100,0.59306600
0.686,0.00231686,4.65015700,0.59394610
0.687,0.00225567,4.66053500,0.59483860
0.688,0.00220052,4.67092400,0.59573720
0.689,0.00214537,4.68132400,0.59663570
0.690,0.00209022,4.69173600,0.59753430
0.691,0.00203507,4.70216000,0.59843290
0.692,0.00197992,4.71259500,0.59933140
0.693,0.00192477,4.72304200,0.60023000
0.694,0.00186962,4.73350100,0.60112860
0.695,0.00181447,4.74397100,0.60202710
0.696,0.00175932,4.75445200,0.60292570
0.697,0.00170417,4.76494500,0.60382430
0.698,0.00164902,4.77545000,0.60472290
0.699,0.00159387,4.78596600,0.60562140
0.700,0.00153872,4.79649400,0.60652000
0.701,0.00148357,4.80703400,0.60741860
0.702,0.00142842,4.81758500,0.60831710
0.703,0.00137480,4.82814700,0.60921850
0.704,0.00132966,4.83872100,0.61013540
0.705,0.00129403,4.84930700,0.61106770
0.706,0.00126089,4.85990400,0.61200410
0.707,0.00122776,4.87051300,0.61294060
0.708,0.00119462,4.88113300,0.61387700
0.709,0.00116149,4.89176500,0.61481340
0.710,0.00112835,4.90240900,0.61574980
0.711,0.00109521,4.91306400,0.61668620
0.712,0.00106208,4.92373000,0.61762260
0.713,0.00102894,4.93440900,0.61855900
0.714,0.00099580,4.94509800,0.61949540
0.715,0.00096267,4.95580000,0.62043180
0.716,0.00092953,4.96651200,0.62136820
0.717,0.00089639,4.97723700,0.62230460
0.718,0.00086326,4.98797300,0.62324100
0.719,0.00083012,4.99872100,0.62417740
0.720,0.00079719,5.00948000,0.62511450
0.721,0.00077033,5.02025000,0.62606930
0.722,0.00074807,5.03103300,0.62703640
0.723,0.00072802,5.04182700,0.62800950
0.724,0.00070798,5.05263200,0.62898250
0.725,0.00068794,5.06344900,0.62995560
0.726,0.00066789,5.07427800,0.63092860
0.727,0.00064785,5.08511800,0.63190170
0.728,0.00062780,5.09596900,0.63287480
0.729,0.00060776,5.10683300,0.63384780
0.730,0.00058772,5.11770800,0.63482090
0.731,0.00056767,5.12859400,0.63579390
0.732,0.00054763,5.13949200,0.63676700
0.733,0.00052758,5.15040100,0.63774000
0.734,0.00050754,5.16132200,0.63871310
0.735,0.00048750,5.17225500,0.63968610
0.736,0.00046745,5.18319900,0.64065920
0.737,0.00044959,5.19415500,0.64164300
0.738,0.00043431,5.20512300,0.64263900
0.739,0.00042250,5.21610100,0.64365030
0.740,0.00041069,5.22709200,0.64466150
0.741,0.00039888,5.23809400,0.64567270
0.742,0.00038707,5.24910800,0.64668390
0.743,0.00037527,5.26013300,0.64769510
0.744,0.00036346,5.27117000,0.64870640
0.745,0.00035165,5.28221800,0.64971760
0.746,0.00033984,5.29327800,0.65072880
0.747,0.00032803,5.30434900,0.65174000
0.748,0.00031623,5.31543200,0.65275120
0.749,0.00030442,5.32652700,0.65376240
0.750,0.00029261,5.33763300,0.65477370
0.751,0.00028080,5.34875100,0.65578490
0.752,0.00026899,5.35988000,0.65679610
0.753,0.00025874,5.37102100,0.65782000
0.754,0.00024995,5.38217300,0.65885510
0.755,0.00024275,5.39333700,0.65990140
0.756,0.00023555,5.40451300,0.66094770
0.757,0.00022835,5.41570000,0.66199410
0.758,0.00022115,5.42689900,0.66304040
0.759,0.00021395,5.43810900,0.66408680
0.760,0.00020675,5.44933100,0.66513310
0.761,0.00019955,5.46056400,0.66617950
0.762,0.00019235,5.47180900,0.66722580
0.763,0.00018515,5.48306600,0.66827220
0.764,0.00017795,5.49433400,0.66931850
0.765,0.00017075,5.50561300,0.67036490
0.766,0.00016355,5.51690500,0.67141120
0.767,0.00015635,5.52820700,0.67245750
0.768,0.00014967,5.53952200,0.67351070
0.769,0.00014377,5.55084800,0.67457410
0.770,0.00013939,5.56218500,0.67565470
0.771,0.00013501,5.57353400,0.67673530
0.772,0.00013063,5.58489500,0.67781590
0.773,0.00012624,5.59626700,0.67889650
0.774,0.00012186,5.60765100,0.67997710
0.775,0.00011748,5.61904600,0.68105770
0.776,0.00011310,5.63045300,0.68213840
0.777,0.00010872,5.64187100,0.68321900
0.778,0.00010434,5.65330100,0.68429960
0.779,0.00009996,5.66474300,0.68538020
0.780,0.00009557,5.67619600,0.68646080
0.781,0.00009119,5.68766100,0.68754140
0.782,0.00008681,5.69913700,0.68862200
0.783,0.00008294,5.71062500,0.68971380
0.784,0.00007963,5.72212400,0.69081770
0.785,0.00007719,5.73363500,0.69193820
0.786,0.00007475,5.74515800,0.69305880
0.787,0.00007231,5.75669200,0.69417940
0.788,0.00006987,5.76823800,0.69530000
0.789,0.00006743,5.77979500,0.69642060
0.790,0.00006499,5.79136400,0.69754120
0.791,0.00006254,5.80294400,0.69866180
0.792,0.00006010,5.81453600,0.69978230
0.793,0.00005766,5.82614000,0.70090290
0.794,0.00005522,5.83775500,0.70202350
0.795,0.00005278,5.84938100,0.70314410
0.796,0.00005034,5.86102000,0.70426470
0.797,0.00004802,5.87266900,0.70539000
0.798,0.00004606,5.88433100,0.70652930
0.799,0.00004454,5.89600400,0.70768360
0.800,0.00004308,5.90768800,0.70884000
0.801,0.00004163,5.91938400,0.70999640
0.802,0.00004018,5.93109200,0.71115290
0.803,0.00003872,5.94281100,0.71230930
0.804,0.00003727,5.95454200,0.71346570
0.805,0.00003582,5.96628400,0.71462220
0.806,0.00003436,5.97803800,0.71577860
0.807,0.00003291,5.98980300,0.71693500
0.808,0.00003145,6.00158000,0.71809140
0.809,0.00003000,6.01336900,0.71924790
0.810,0.00002855,6.02516900,0.72040430
0.811,0.00002720,6.03698100,0.72156740
0.812,0.00002600,6.04880400,0.72274060
0.813,0.00002512,6.06063900,0.72393070
0.814,0.00002424,6.07248500,0.72512080
0.815,0.00002335,6.08434300,0.72631100
0.816,0.00002247,6.09621300,0.72750110
0.817,0.00002159,6.10809400,0.72869120
0.818,0.00002071,6.11998700,0.72988130
0.819,0.00001982,6.13189100,0.73107150
0.820,0.00001894,6.14380700,0.73226160
0.821,0.00001806,6.15573400,0.73345170
0.822,0.00001718,6.16767300,0.73464180
0.823,0.00001629,6.17962300,0.73583200
0.824,0.00001541,6.19158500,0.73702210
0.825,0.00001470,6.20355900,0.73823010
0.826,0.00001410,6.21554400,0.73944980
0.827,0.00001361,6.22754100,0.74067860
0.828,0.00001312,6.23954900,0.74190750
0.829,0.00001262,6.25156900,0.74313630
0.830,0.00001213,6.26360100,0.74436510
0.831,0.00001164,6.27564400,0.74559390
0.832,0.00001115,6.28769800,0.74682280
0.833,0.00001065,6.29976500,0.74805160
0.834,0.00001016,6.31184200,0.74928040
0.835,0.00000967,6.32393200,0.75050920
0.836,0.00000917,6.33603300,0.75173810
0.837,0.00000868,6.34814500,0.75296690
0.838,0.00000828,6.36026900,0.75421320
0.839,0.00000794,6.37240500,0.75547120
0.840,0.00000766,6.38455200,0.75673880
0.841,0.00000738,6.39671000,0.75800650
0.842,0.00000710,6.40888100,0.75927420
0.843,0.00000682,6.42106300,0.76054180
0.844,0.00000654,6.43325600,0.76180950
0.845,0.00000626,6.44546100,0.76307720
0.846,0.00000598,6.45767700,0.76434480
0.847,0.00000570,6.46990600,0.76561250
0.848,0.00000543,6.48214500,0.76688020
0.849,0.00000515,6.49439600,0.76814780
0.850,0.00000488,6.50665900,0.76941970
0.851,0.00000465,6.51893400,0.77070470
0.852,0.00000447,6.53122000,0.77200380
0.853,0.00000430,6.54351700,0.77330550
